i,date,open,high,low,close,volume
282,2020-06-07,9748193.332087815,9801209.8765322,9634189.259248437,9783217.655544566,4066968445385.8643
283,2020-06-08,9783207.654309997,9878219.382704953,9571181.48147073,9773636.472828528,4602968326441.607
284,2020-06-09,9773646.474063095,9993953.669124575,9705378.046902679,9886220.370359264,4713658159466.088
285,2020-06-10,9886440.397519758,9965230.123445597,9114125.061718157,9281545.728384634,9443064139467.541
286,2020-06-11,9280025.540730316,9558299.89134729,9233649.81603901,9466298.534557266,5012525447107.11
287,2020-06-12,9466128.513569612,9495902.188878221,9352154.444433939,9474509.548137505,2776321198490.1035
288,2020-06-13,9474509.548137505,9482160.492581941,9246141.358014304,9343253.345668517,3005921716433.7593
289,2020-06-14,9343253.345668517,9496172.222211555,8911550.055545546,9427183.70616225,8611855531489.178
290,2020-06-15,9427213.709865952,9590183.82714972,9374247.171594407,9526765.99875473,5205887315495.72
291,2020-06-16,9528146.169125099,9566180.864186784,9237750.322211845,9466308.535791835,4805234280764.38
292,2020-06-17,9466298.534557266,9490171.481470821,9281145.67900192,9387478.804927725,3738656882097.8374
293,2020-06-18,9387478.804927725,9439465.222211618,9216927.751841499,9311379.41110065,4533658009068.648
294,2020-06-19,9311379.41110065,9396159.876532655,9172082.21603908,9360105.425915413,3033280971302.5684
295,2020-06-20,9360105.425915413,9423163.209865957,9282685.869125376,9295837.492582152,2431992832363.12
296,2020-06-21,9295837.492582152,9781207.407396419,9278235.319742665,9686885.76418665,5790261593161.928
297,2020-06-22,9686885.76418665,9721199.99998908,9578212.349371957,9626078.258013878,4103609493913.662
298,2020-06-23,9625518.188878076,9671193.82714963,9209136.790113112,9297637.71480437,6157916289127.206
299,2020-06-24,9299477.941964863,9341153.08640926,9010802.307397285,9250631.912335288,5583851194842.567
300,2020-06-25,9250631.912335288,9299147.901224121,9046566.722212061,9163341.137026742,5029850720265.671
301,2020-06-26,9163341.137026742,9197375.338261273,8834090.493817236,9013112.592582468,4629664504259.158
302,2020-06-27,9013112.592582468,9192134.6913477,8949164.698755378,9117475.475298401,3069196508472.12
303,2020-06-28,9117285.45184161,9239140.493816782,9025784.156779984,9193694.883940289,4212549329715.7744
304,2020-06-29,9194064.929619301,9206136.419742744,9066009.122212037,9139678.216039116,3146704714205.1196
305,2020-06-30,9139208.158014424,9293147.160483388,9081220.999989798,9233139.753076049,3849328036916.652
306,2020-07-01,9233129.75184148,9263103.451841446,8941103.70369366,9087661.79505152,4573081315842.715
307,2020-07-02,9087661.79505152,9126126.543199625,9038585.737026883,9059378.303693527,2894699343871.773
308,2020-07-03,9058908.245668838,9191134.56789091,9041156.054310832,9136587.834557638,2644523292452.3877
309,2020-07-04,9136127.777767515,9146369.041965034,8894127.904928282,9070529.680236725,3407786025086.629
310,2020-07-05,9070529.680236725,9376157.407396875,9057038.01480464,9345353.604927775,5446985612042.9795
311,2020-07-06,9343623.391347528,9380577.953075882,9204136.172829166,9258532.88764392,3459160671952.633
312,2020-07-07,9258542.888878489,9471169.13579183,9232139.62961926,9437224.94566841,5614744870905.805
313,2020-07-08,9437224.94566841,9441955.529619023,9161130.86418724,9233569.806162467,4805038205860.59
314,2020-07-09,9233559.804927899,9318630.30616237,9126126.543199625,9289486.70863154,3830022184472.315
315,2020-07-10,9289486.70863154,9300428.059248812,9179383.11727364,9235170.003693331,2256415135380.1816
316,2020-07-11,9235160.002458762,9346153.703693205,9158630.555545267,9303898.48764387,3087651373069.198
317,2020-07-12,9304458.556779671,9344973.558014194,9202025.912335342,9243761.064187149,4274534566669.4575
318,2020-07-13,9243751.06295258,9280685.622211797,9114125.061718157,9256992.697520467,4577820344135.71
319,2020-07-14,9256992.697520467,9277635.24566859,9161700.93455761,9198735.506162507,3905840109454.4395
320,2020-07-15,9198735.506162507,9227289.030853832,9048366.94443428,9134847.619742824,4338092619974.029
321,2020-07-16,9134847.619742824,9187964.176532889,9090932.19875522,9155450.162952678,2805782224204.7617
322,2020-07-17,9155440.16171811,9220438.185174827,9122226.061718147,9171412.13332303,2255732596826.565
323,2020-07-18,9171432.135792166,9233409.786409382,9102473.623446565,9210126.912335332,2605523571566.419
324,2020-07-19,9210126.912335332,9222658.4592489,9132127.283940358,9161910.960483536,3546314170715.5474
325,2020-07-20,9161910.960483536,9438895.15184125,9153929.975298358,9391159.25924871,6042104095290.571
326,2020-07-21,9391159.25924871,9545178.271594215,9262143.33332293,9519335.081470788,4882103065066.207
327,2020-07-22,9519335.081470788,9665193.086408896,9441495.4728289,9604455.5888781,5186263550407.755
328,2020-07-23,9604455.5888781,9638189.753075592,9464608.325915294,9538977.506162124,4393655980201.2993
329,2020-07-24,9539277.543199161,9734101.592581658,9514174.444433756,9701617.582705151,4068456758205.504
330,2020-07-25,9701617.582705151,10112248.271593578,9651191.35801385,9932766.116038226,6528732848797.839
331,2020-07-26,9932766.116038226,11396266.772826705,9918434.346902438,11031321.723444397,15020747498742.932
332,2020-07-27,11031321.723444397,11243617.929616999,10566304.320975784,10907616.453074167,9727974254913.604
333,2020-07-28,10907616.453074167,11344220.348135404,10813334.814802667,11101900.435789999,7684758041738.688
334,2020-07-29,11101890.43455543,11171379.01233313,10832337.16048166,11100980.322209753,6080233199006.207
335,2020-07-30,11101160.344431976,11445412.839493316,10961353.08640744,11336859.439493436,7007231080860.943
336,2020-07-31,11336859.439493436,11862464.32097433,11221385.18517258,11802626.934554644,8509798975369.774
337,2020-08-01,11802626.934554644,12124956.72344317,10519798.580235096,11072716.833320895,9756512119371.807
338,2020-08-02,11072726.834555464,11474416.419740196,10937350.123444503,11221195.161715789,5693887009734.036
339,2020-08-03,11221065.145666407,11416389.2567773,11001358.024679,11193351.724678783,5863635187112.043
340,2020-08-04,11193371.72714792,11782384.435789233,11094369.506160377,11746359.988875695,7497951243918.146
341,2020-08-05,11746359.988875695,11901469.1357891,11563927.469122812,11763912.15554234,6353692811684.468
342,2020-08-06,11763922.156776909,11911410.362949584,11323397.777765058,11595661.386406727,6576404403748.44
343,2020-08-07,11595791.40245611,11809727.811097845,11513421.234554969,11762862.025912711,4186332871415.5444
344,2020-08-08,11762471.977764565,11798566.43332008,11523392.465419153,11683122.182702925,4149818994285.981
345,2020-08-09,11683132.183937494,12068839.796282738,11451413.58023405,11894388.261715034,8496282582985.357
346,2020-08-10,11894368.259245897,11936473.456776714,11126373.456777625,11393486.429616831,9075948812582.816
347,2020-08-11,11393496.4308514,11618954.261715343,11151376.54319735,11565757.695048736,6491762717647.572
348,2020-08-12,11565767.696283305,11794415.920974404,11271751.402456474,11781454.32097442,7014114983420.541
349,2020-08-13,11781224.292579358,11851462.96294965,11635466.29998693,11761991.918505307,5982623774047.564
350,2020-08-14,11762001.919739872,11981479.01233222,11681441.97529552,11853863.259245943,5624484800117.756
351,2020-08-15,11853863.259245943,11933193.051838446,11687442.716036255,11912470.49381378,4137334409569.5005
352,2020-08-16,11912460.49257921,12469539.259245252,11771233.059246037,12282646.18887509,8474467255367.519
353,2020-08-17,12282666.191344228,12389299.35430707,11819389.003690427,11946484.692579173,7593320883994.273
354,2020-08-18,11946574.703690285,12021563.960480323,11562427.28393763,11756041.183937412,7394929802191.767
355,2020-08-19,11755831.158011485,11889467.654307632,11669440.493814051,11855013.40122125,4609094388852.243
356,2020-08-20,11855003.399986684,11879466.419739742,11487228.001221664,11532763.622209268,6445626272293.278
357,2020-08-21,11532653.60862902,11687442.716036255,11378214.544431662,11664399.871591834,4368409407825.2905
358,2020-08-22,11664949.93949307,11719516.675295476,11515551.497517928,11649568.040727654,3790468370288.2114
359,2020-08-23,11649558.039493088,11826359.864184245,11586520.258011676,11749650.39504853,4621809710051.191
360,2020-08-24,11749640.393813962,11769302.820974434,11119012.548135657,11319817.335789753,6959951474393.071
361,2020-08-25,11319817.335789753,11540744.607394444,11245388.148135517,11462844.991345149,5400489767923.946
362,2020-08-26,11462834.99011058,11593631.135789447,11126373.456777625,11331778.812332949,6325384453556.883
363,2020-08-27,11331778.812332949,11544075.01850555,11278282.208629306,11528333.075295692,4595958168696.875
364,2020-08-28,11528323.074061124,11581449.632085755,11418449.511098286,11467255.535789588,3297787003937.0366
365,2020-08-29,11467255.535789588,11720446.79011029,11459414.567888362,11712605.822209066,4318320965630.384
366,2020-08-30,11712615.823443633,11802226.885171928,11571428.39504873,11650948.211098023,5536045152390.621
367,2020-08-31,11650948.211098023,12052337.759245722,11516421.604925334,11923441.848134754,7815784159305.642
368,2020-09-01,11923441.848134754,11956045.872826075,11161477.79011092,11389945.9925798,8723261373098.868
369,2020-09-02,11389945.9925798,11464015.135789592,9962029.72838387,10142101.956778731,12196516158350.682
370,2020-09-03,10139541.640729351,10628361.981469542,9876719.19751977,10447539.660482092,9274504770537.89
371,2020-09-04,10447539.660482092,10566984.404926402,9826212.962951925,10167945.146902159,9001271687722.828
372,2020-09-05,10167945.146902159,10348417.424679732,9996093.933322106,10257466.197519341,5637574792466.692
373,2020-09-06,10257156.159247737,10412035.277766082,9876219.135791374,10374720.671593284,6262796156860.57
374,2020-09-07,10374730.672827853,10439288.641963582,9851216.04937165,10127900.203692326,7350095148932.706
375,2020-09-08,10127910.204926895,10344276.913568627,9982242.223445578,10220461.62961815,4935320601221.32
376,2020-09-09,10220551.64072926,10484644.240728963,10072073.312334364,10338146.15677851,5826094557138.518
377,2020-09-10,10338136.155543944,10398883.654309306,10201259.2592478,10389172.455543885,4383566560947.755
378,2020-09-11,10389172.455543885,10479263.576531438,10270517.808630439,10442209.002457406,3538352089263.8774
379,2020-09-12,10441958.971593209,10581416.186407868,10201259.2592478,10334105.658013083,4384302191555.1367
380,2020-09-13,10334115.659247652,10751327.16048175,10213600.782704577,10673087.502457147,6706757028578.404
381,2020-09-14,10673087.502457147,10931389.387642043,10607789.441963391,10786641.519740969,6183008518750.907
382,2020-09-15,10786561.509864425,11094369.506160377,10662536.199988022,10955362.346901273,6499953608343.81
383,2020-09-16,10955362.346901273,11046823.637024626,10747156.64566694,10941340.616037091,5560847892579.297
384,2020-09-17,10941350.61727166,11039392.719740687,10814174.91850637,10934739.801222283,4727256367349.937
385,2020-09-18,10934749.802456852,11181170.220975095,10888714.119740855,11082017.981469031,3844478254151.953
386,2020-09-19,11082007.980234465,11082007.980234465,10724323.827148447,10921628.182703782,3916275687638.379
387,2020-09-20,10921628.182703782,10990216.64937037,10297621.15430942,10418506.076531505,7069215752844.887
